user_input,retrieved_contexts,response,faithfulness,answer_relevancy,judge,case_id
학자금 대출 이자가 부담돼요.,"['정책명: 부산 청년 신용회복 지원\n정책 설명: 경제적 어려움을 겪고 있는 청년들 대상으로 재무상담, 채무조정, 연체예방비용 지원 및 경제교육 등을 실시하여 경제적 자립을 지원\n지원 내용: ○ 지원내용\r\n  - 1:1 맞춤형 재무상담 지원\r\n  - 채무조정 및 연체예방 비용 지원\r\n  - 청년 맞춤형 경제교육 지원\n관련 키워드: 맞춤형상담서비스\n대상 연령: 18세 ~ 39세\n신청 기간: \n소득 조건: 제한없음\n주관 기관: 부산광역시 청년산학국 청년정책과']","이 정책은 학자금 대출 이자가 부담스러운 청년들에게 도움이 될 수 있습니다. 1:1 맞춤형 재무상담과 채무조정, 연체예방 비용 지원 등을 통해 경제적 부담을 줄이고, 경제적 자립을 도울 수 있습니다.",0.8333333333333334,0.637583655567323,watsonx_mistral_small_24b,exp_001
마음이 많이 힘든데 상담받을 수 있는 곳이 있을까요?,"['정책명: (복지부) 26년 정신건강 심리상담 바우처사업\n정책 설명: 우울·불안 등 정서적 어려움으로 인해 심리상담이 필요한 국민에게 전문적인 심리상담 서비스를 제공합니다.\n지원 내용: □ 서비스 내용\n(지원내용) 우울·불안 등 정서적 어려움으로 인해 심리상담이 필요한 국민에게 전문 심리상담 서비스를 총 8회(1회당 최소 50분 이상) 이용할 수 있는 바우처 제공\n(지원기간) 바우처 생성일로부터 120일간(연장 불가)\n* 당해연도 사업은 1회만 신청 가능(재신청 불가)\n\n□ 서비스 유형\n(1급 유형) (국가전문자격) 정신건강전문요원 1급, 청소년상담사 1급, 전문상담교사 1급, (민간자격) 임상심리전문가, 상담심리사 1급, 전문상담사 1급\n(2급 유형) (국가전문자격) 정신건강전문요원 2급, 청소년상담사 2급, 전문상담교사 2급, (국가기술자격) 임상심리사 1급, (민간자격) 상담심리사 2급, 전문상담사 2급\n\n□ 서비스 가격\n(서비스단가) 1회당 1급 유형은 8만원, 2급 유형은 7만원\n(본인부담금) 이용자는 정부지원금을 제외한 차액을 부담\n- 기준 중위소득 70% 이하 : 본인부담률 0%\n- 기준 중위소득 70% 초과 ~ 120% 이하 : 본인부담률 10%\n- 기준 중위소득 120% 초과 ~ 180% 이하 : 본인부담률 30%\n- 기준 중위소득 180% 초과 : 본인부담률 50%\n* 기초생활수급자, 차상위계층, 자립준비청년 및 보호연장아동, 법정한부모가족은 본인부담률, 재난피해자는 본인부담률 0%\n* 사회보장정보시스템을 통해 신청일 기준 전월 건강보험료 부과액 기준으로 산정\n\n※ 자세한 내용은 사업지침을 참고하시기 바랍니다.\n관련 키워드: 바우처\n대상 연령: 세 ~ 세\n신청 기간: 20260101 ~ 20261231\n소득 조건: 제한없음\n주관 기관: 한국고용정보원']","이 정책은 우울이나 불안 등 정서적 어려움을 겪고 있는 국민에게 전문적인 심리상담 서비스를 제공합니다. 총 8회(1회당 최소 50분 이상) 상담을 무료 또는 저렴한 비용으로 받을 수 있는 바우처를 제공하므로, 마음의 어려움을 겪고 있는 분들에게 큰 도움이 될 것입니다.",0.8,0.5734347194219814,watsonx_mistral_small_24b,exp_002
창업 초기 자금이 부족한데 도움받을 방법이 있을까요?,"['정책명: 지식재산 기반 창업촉진(IP 디딤돌 프로그램)\n정책 설명: 개인 및 예비창업자를 대상으로 창의적 아이디어를 기술적으로 발전시켜 사업아이템을 도출하고, 이에 대한 지식재산 컨설팅 및 권리화 지원\n지원 내용: ㅇ 한국발명진흥회 및 전국 17개소의 지역지식재산센터(RIPC)를 통해,\n지역별 예비창업자의 아이디어에 대한 기초상담, 창업아이템으로의 고도화/권리화 지원\n\nㅇ 우수창업기업 대상 IR 심화컨설팅 실시, 데모데이 개최를 통해 특허 기반 초기창업기업의 사업화 및 투자유치 지원\n관련 키워드: 중소기업,벤처\n대상 연령: 세 ~ 세\n신청 기간: \n소득 조건: 제한없음\n주관 기관: 지식재산처 기획조정관 기획재정담당관']","지식재산 기반 창업촉진(IP 디딤돌 프로그램)은 창업 초기 자금이 부족한 개인 및 예비창업자에게 도움이 될 수 있습니다. 이 프로그램은 창의적 아이디어를 기술적으로 발전시켜 사업 아이템을 도출하고, 이에 대한 지식재산 컨설팅 및 권리화 지원을 제공합니다. 한국발명진흥회 및 전국 17개소의 지역지식재산센터(RIPC)를 통해 기초 상담, 창업 아이템으로의 고도화 및 권리화 지원을 받을 수 있습니다. 또한, 우수 창업 기업 대상 IR 심화 컨설팅과 데모데이 개최를 통해 사업화 및 투자 유치를 지원합니다.",,0.6162275563379015,watsonx_mistral_small_24b,exp_003
"이번에 취업하면서 독립하려는데, 월세 부담이 커서 지원받을 수 있는 정책이 있을까요?","[""정책명: 전세보증금반환보증 보증료 지원\n정책 설명: 전세사기, 역전세 등 임차인이 전세보증금을 돌려받지 못하는 전세 피해를 예방하고, 상대적으로 주거 취약계층인 청년 및 저소득층의 주거 안정을 도모\n지원 내용: ○ 지원대상\n- 신청일 기준 유효한 전세보증금반환보증(HUG, HF, SGI)에 가입한 임차보증금 3억원 이하, 연소득 (청년) 5천만원, (청년외) 6천만원, (신혼부부) 7.5천만원 이하 무주택 임차인\n\n○ 지원금\n- 신청인이 기납부한 전세보증금반환보증 보증료에 대해 최대 40만원 한도 내 지원('25.3.30 이전 가입건은 최대 30만원 지원)\nㆍ단, 청년외의 경우 신청인이 기납부한 보증료의 90%를 최대 40만원 한도 내 지원\n\n○ 신청시기\n- 연중 (지자체별 예산 소진시 조기 마감)\n관련 키워드: 주거지원\n대상 연령: 세 ~ 세\n신청 기간: \n소득 조건: 제한없음\n주관 기관: 한국고용정보원""]","전세보증금반환보증 보증료 지원 정책은 전세사기 예방과 청년 및 저소득층의 주거 안정을 돕기 위해 마련된 정책입니다. 이 정책은 전세보증금반환보증에 가입한 임차인에게 보증료를 최대 40만원 한도 내에서 지원합니다. 청년층의 경우 연소득 5천만원 이하, 청년 외의 경우 6천만원 이하, 신혼부부의 경우 7.5천만원 이하 무주택 임차인이라면 지원 대상에 해당합니다. 이 정책을 통해 전세보증금반환보증 보증료 부담을 줄일 수 있어 월세 부담이 큰 상황에서 독립하는 데 도움이 될 수 있습니다.",,0.6574152827817875,watsonx_mistral_small_24b,exp_004
"육아휴직 후 복직을 준비하고 있는 30대 직장인인데, 아이 돌봄 관련 지원이 있을까요?","['정책명: 임산부 직장생활 패키지 용품 지원 사업\n정책 설명: ○ 중소사업장에서 근무하는 임산부 직원의 마음 편한 근무환경 조성을 위한 직장생활 패키지 용품 지원\n○ 맘편한 의자·직장생활 꾸러미 제공 및 노무 컨설팅(원스톱 노무상담) 지원\n지원 내용: ○ 맘편한 의자 제공: 등받이·엉덩이 부분 가죽, 180도 눕혀지는 의자, 휴게실에서 간이침대로 사용 가능\n○ 직장생활 꾸러미 제공: 전자파 예방 담요, 발받침대, 임신출산대백과, 튼살크림, 임산부 캔디, 디데이 달력\n○ 노무 컨설팅: 출산·육아휴직 및 모·부성권 제도 등 본부 원스톱 노무상담 상시 이용\n관련 키워드: 보조금\n대상 연령: 19세 ~ 99세\n신청 기간: 20260223 ~ 20261231\n소득 조건: 제한없음\n주관 기관: 광주시청']","이 정책은 임산부 직장생활 패키지 용품 지원 사업으로, 임산부 직원의 근무환경 개선을 위한 지원입니다. 육아휴직 후 복직을 준비하는 30대 직장인에게는 직접적인 지원이 아니지만, 임신 중인 직장인에게는 맘편한 의자, 직장생활 꾸러미, 노무 컨설팅 등을 제공하여 근무환경 개선을 지원합니다. 따라서, 임신 중인 직장인에게는 유용한 정책이지만, 육아휴직 후 복직을 준비하는 30대 직장인에게는 직접적인 지원이 없습니다.",1.0,0.7336442370750679,watsonx_mistral_small_24b,exp_005
중소기업 다니는데 목돈 마련할 수 있는 저축 지원 정책이 있을까요?,"['정책명: 청년내일저축계좌 지원사업\n정책 설명: 일하는 저소득 근로청년의 자산형성지원으로 탈수급 지원 및 빈곤의대물림 예방\n지원 내용: ○ 근거법률 : 국민기초생활보장법 제18조의 8\n  ○ 지원대상 \n    - (차상위이하) 생계‧주거‧교육급여 수급가구 및 차상위가구 청년(만 15~39세)\n    - (차상위초과) 개인(월50만원 초과~250만원 이하), 가구(중위소득 100% 이하)소득 및 재산기준 충족 청년(만 19~34세)\n  ○ 지원내용 \n    - (차상위이하) 본인 저축액(월 10만원) + 정부매칭(1:3, 월 30만원) 적립\n    - (차상위초과) 본인 저축액(월 10만원) + 정부매칭(1:1, 월 10만원) 적립\n    - 가입 청년 대상 금융교육, 재무상담 등 역량강화 서비스 제공\n  ○ 가입기간 : 3년간 적립 후 공제액‧적립금 전액 지급  \n  ○ 지원조건 : 지속적인 근로, 자립역량교육 이수 및 자금사용계획서 제출\n관련 키워드: 금리혜택,보조금\n대상 연령: 세 ~ 세\n신청 기간: \n소득 조건: 제한없음\n주관 기관: 울산광역시 기업투자국']","청년내일저축계좌 지원사업은 일하는 저소득 근로청년의 자산형성지원으로 탈수급 지원 및 빈곤의 대물림 예방을 목표로 합니다. 이 정책은 중소기업에서 근무하는 청년들이 월 10만원을 저축할 때, 정부가 매칭금을 제공하여 목돈을 마련하는 데 도움이 됩니다. 차상위이하 청년은 정부 매칭금이 월 30만원, 차상위초과 청년은 월 10만원이 적립됩니다. 또한, 금융교육과 재무상담을 통해 자산관리 역량을 강화할 수 있는 기회를 제공합니다.",,0.6116423155895351,watsonx_mistral_small_24b,exp_006
취업 준비 중인데 이력서나 면접 컨설팅을 받을 수 있는 곳이 있을까요?,"['정책명: [조선대] 현직자 리얼토크 멘토링 : 하이트진로음료\n정책 설명: ○ 현직자 리얼토크 멘토링 : 하이트진로음료\n· 현직자가 알려주는 실무 이야기 및 취업 노하우 제공\n· 온라인 마케팅 현직자의 실제 업무 소개\n· 취업 준비 과정 및 합격 노하우 안내\n· 취업 전 알아야 할 현실 이야기 및 현직자 실시간 Q&A 운영\n지원 내용: ○ 온라인 마케팅 전략\n· 온라인 채널, 광고 기획, 퍼포먼스 마케팅 전략 노하우 전수\n○ 자사몰 운영\n· 자사몰 기획 및 운영 실무 전체 흐름 안내\n○ 콜라보 브랜딩\n· 타사와의 콜라보 브랜딩 및 마케팅 역량 안내\n○ 취업 준비 전략\n· 현직자의 취업 준비 경험 및 취업 노하우 공유\n○ 현직자 Q&A\n· 취업 관련 궁금한 사항 질의응답\n관련 키워드: 인턴\n대상 연령: 19세 ~ 39세\n신청 기간: \n소득 조건: 제한없음\n주관 기관: 광주시청']","이 정책은 현직자가 직접 취업 준비 과정과 합격 노하우를 안내해주며, 실시간 Q&A를 통해 취업 관련 궁금한 사항을 해결할 수 있는 기회를 제공합니다. 따라서 이 정책을 통해 이력서 작성이나 면접 준비에 대한 구체적인 조언을 받을 수 있을 것입니다.",0.6666666666666666,0.5816962470490868,watsonx_mistral_small_24b,exp_007
중소기업에 막 취업했는데 정착지원금 같은 게 있을까요?,"['정책명: 참 괜찮은 강소기업 선정 및 취업연계\n정책 설명: 구직자들이 선호할만한 우수 중소기업을 발굴하고 채용 정보 제공 및 매칭 지원을 통해 중소기업 일자리 미스매치 완화\n지원 내용: 기업정보 제공 및 매칭지원\n관련 키워드: 장기미취업청년,중소기업,벤처\n대상 연령: 세 ~ 세\n신청 기간: \n소득 조건: 제한없음\n주관 기관: 중소벤처기업부 창업벤처혁신실 창업정책관']","제공된 정책 정보에 따르면, 중소기업에 취업한 경우 정착지원금에 대한 정보는 없습니다. 다만, 중소기업에 취업한 장기미취업청년을 대상으로 기업정보 제공 및 매칭지원을 통해 중소기업 일자리 미스매치를 완화하는 정책이 있습니다. 이 정책은 중소기업에 취업한 청년이 안정적으로 정착할 수 있도록 돕는 데 도움이 될 수 있습니다.",0.5,0.688993068449035,watsonx_mistral_small_24b,exp_008
장기 실업 상태인데 재취업 지원 프로그램이 있을까요?,"['정책명: 벤처기업 공동채용 지원사\n정책 설명: 채용수요가 있는 벤처기업들이 합동으로 취업포탈 사이트에 취업 공고 게시 및 채용박람회 등을 통해 벤처기업이 우수 인재채용을 지\n지원 내용: 벤처기업 공동채용을 통한 입사자 등 벤처 신입직원을 대상으로 벤처이해를 포함한 기초소양 및 직무역량 향상 교육 실시\n관련 키워드: 중소기업,벤처,장기미취업청년\n대상 연령: 세 ~ 세\n신청 기간: \n소득 조건: 제한없음\n주관 기관: 중소벤처기업부 창업벤처혁신실 창업정책관']","중소벤처기업부에서 운영하는 벤처기업 공동채용 지원사 정책을 통해 장기 실업 상태인 분들이 벤처기업에 취업할 수 있는 기회를 얻을 수 있습니다. 이 정책은 벤처기업들이 합동으로 취업 포탈 사이트에 취업 공고 게시 및 채용박람회 등을 통해 우수 인재를 채용하는 것을 지원합니다. 또한, 입사자 및 신입직원을 대상으로 벤처 이해를 포함한 기초 소양 및 직무 역량 향상 교육을 실시하여 재취업에 도움이 될 수 있습니다.",0.6,0.643196739271482,watsonx_mistral_small_24b,exp_009
인턴십을 하고 싶은데 지원 프로그램이 있을까요?,"['정책명: (인천교통공사)청년 체험형 인턴 운영\n정책 설명: 청년층의 취업난 완화와 직무 체험기회 제공을 통한 취업역량강화\n지원 내용: ○ 오리엔테이션 및 교육 실시 : 채용제도 설명, 소양교육, 공사직무소개 등\n○ 멘토링 프로그램 운영 : 부서별 멘토링, 인턴사원 성과보고서 제출 \n○ 부서 배치 및 업무 할당을 통한 직무체험\n관련 키워드: 인턴\n대상 연령: 19세 ~ 34세\n신청 기간: \n소득 조건: 제한없음\n주관 기관: 인천광역시 청년정책담당관']","인천교통공사에서 운영하는 청년 체험형 인턴 프로그램이 있습니다. 이 프로그램은 19세에서 34세까지의 청년층을 대상으로 오리엔테이션, 교육, 멘토링 등을 통해 직무 체험 기회를 제공합니다. 이를 통해 취업 역량을 강화하고 취업난을 완화할 수 있습니다.",1.0,0.6144040858034391,watsonx_mistral_small_24b,exp_010
