case_id,chat,candidates,llm_response,reference,exact_match,actual_positive,predicted_positive
sel_001,"저는 취업준비 중인 25세 대학생이고, 생활비 지원을 받을 수 있는 정책을 찾고 있어요.","['대학생 연합생활관(은행권,고양)', '(광양시) 청년 일자리 만들기 확대', '(광양시)귀농귀촌 보금자리 조성 지원', '참 괜찮은 강소기업 선정 및 취업연계', '(복지부) 26년 정신건강 심리상담 바우처사업', 'K-패스(K패스)', '[조선대] 현직자 리얼토크 멘토링 : 하이트진로음료', '벤처기업 공동채용 지원사', '전세보증금반환보증 보증료 지원', '심리상담 바우처 사업(구 전국민 마음투자 지원사업)']",0,0,1.0,False,False
sel_002,학자금 대출 이자가 부담돼요.,"['부산 청년 임차보증금 대출 및 대출이자 지원(머물자리론)', '대학생 연합생활관(은행권,고양)', '부산 청년 신용회복 지원', '부산 신혼부부 럭키7하우스 지원사업', '심리상담 바우처 사업(구 전국민 마음투자 지원사업)']",3,0,0.0,False,True
sel_003,마음이 많이 힘든데 상담받을 수 있는 곳이 있을까요?,"['(복지부) 26년 정신건강 심리상담 바우처사업', '심리상담 바우처 사업(구 전국민 마음투자 지원사업)']",1,1,1.0,True,True
sel_004,창업 초기 자금이 부족한데 도움받을 방법이 있을까요?,"['지식재산 기반 창업촉진(IP 디딤돌 프로그램)', '스타트업 원스톱 지원센터', '올해의 K-스타트업(舊. 도전! K-스타트업)', '(광양시)광양만권 소재부품 지식산업센터 운영', '벤처기업 공동채용 지원사', '(광양시)귀농귀촌 보금자리 조성 지원', '참 괜찮은 강소기업 선정 및 취업연계']",1,0,0.0,False,True
sel_005,60대 은퇴 후 창업을 준비하고 있는데 지원받을 수 있는 정책이 있을까요?,"['청년창업 특례보증 및 이차보전', '지식재산 기반 창업촉진(IP 디딤돌 프로그램)', '소상공인지원(융자)', '올해의 K-스타트업(舊. 도전! K-스타트업)', '청년 사회적경제기업 창업지원사업', '청년도전지원사업', '자활성공지원금 지급·관리', '노후준비서비스', '스포츠산업 창업 지원', '여성창업액셀러레이팅']",0,0,1.0,False,False
sel_006,"이번에 취업하면서 독립하려는데, 월세 부담이 커서 지원받을 수 있는 정책이 있을까요?","['전세보증금반환보증 보증료 지원', '(광양시)귀농귀촌 보금자리 조성 지원', '대학생 연합생활관(은행권,고양)', 'K-패스(K패스)', '참 괜찮은 강소기업 선정 및 취업연계', '(복지부) 26년 정신건강 심리상담 바우처사업', '벤처기업 공동채용 지원사']",1,1,1.0,True,True
sel_007,"육아휴직 후 복직을 준비하고 있는 30대 직장인인데, 아이 돌봄 관련 지원이 있을까요?","['임산부 직장생활 패키지 용품 지원 사업', '고용이음 안착 지원금(이·전직) 지원(2026년 광주 고용이음 위기 극복 프로젝트)', '(복지부) 26년 정신건강 심리상담 바우처사업', '고용이음 패키지 지원사업(2026년 광주 고용이음 위기 극복 프로젝트)', '2026 직업교육훈련 교육생 모집(전액 국비지원)', '참 괜찮은 강소기업 선정 및 취업연계', '2026년 서구 전입 청년 웰컴 박스 지원', '2026년 서구 청년도전지원사업', '[고용노동부]2026년 청년일자리도약장려금']",1,0,0.0,False,True
sel_008,중소기업 다니는데 목돈 마련할 수 있는 저축 지원 정책이 있을까요?,"['청년내일저축계좌 지원사업', '참 괜찮은 강소기업 선정 및 취업연계', '청년일자리 강소기업 선정 지원사업', '지식재산 기반 창업촉진(IP 디딤돌 프로그램)', '(광양시)귀농귀촌 보금자리 조성 지원', '산모·신생아 재가돌봄 서비스 지원', '매곡산업단지 복합개발사업', '(광양시)광양만권 소재부품 지식산업센터 운영', '가족돌봄청년 지원사업', '울산관광기업지원센터 운영']",1,1,1.0,True,True
sel_009,취업 준비 중인데 이력서나 면접 컨설팅을 받을 수 있는 곳이 있을까요?,"['[조선대] 현직자 리얼토크 멘토링 : 하이트진로음료', '벤처기업 공동채용 지원사', '참 괜찮은 강소기업 선정 및 취업연계', '(광양시) 청년 일자리 만들기 확대', '스타트업 원스톱 지원센터']",1,0,0.0,False,True
sel_010,구직활동 중인데 활동비를 지원받을 수 있나요?,"['(광양시) 청년 일자리 만들기 확대', '참 괜찮은 강소기업 선정 및 취업연계', '(광양시)귀농귀촌 보금자리 조성 지원', 'K-패스(K패스)', '전세보증금반환보증 보증료 지원', '[조선대] 현직자 리얼토크 멘토링 : 하이트진로음료', '대학생 연합생활관(은행권,고양)', '벤처기업 공동채용 지원사', '(복지부) 26년 정신건강 심리상담 바우처사업', '심리상담 바우처 사업(구 전국민 마음투자 지원사업)']",0,0,1.0,False,False
